r,epsilon,eta,recall,cr_ann_acc,memory_MB
0.5,0.5,0.1,1.0000,1.0,799.4593353271484
0.5,0.5,0.2,0.9956,1.0,356.5094223022461
0.5,0.5,0.3,0.9768,0.999462654486835,159.51292419433594
0.5,0.5,0.4,0.9214,0.9975819451907576,70.54206848144531
0.5,0.5,0.5,0.7078,0.9806555615260613,34.48085021972656
0.5,0.5,0.7,0.0882,0.7619559376679205,16.13568878173828
0.5,0.5,0.9,0.0176,0.3111230521225148,14.167572021484375
0.5,0.6,0.1,1.0000,1.0,408.76509857177734
0.5,0.6,0.2,0.9974,1.0,187.68960571289062
0.5,0.6,0.3,0.9831,1.0,85.51889038085938
0.5,0.6,0.4,0.9425,0.999462654486835,38.97711944580078
0.5,0.6,0.5,0.7805,0.9916711445459431,18.42064666748047
0.5,0.6,0.7,0.1065,0.907576571735626,9.295303344726562
0.5,0.6,0.9,0.0110,0.15421816227834498,8.098312377929688
0.5,0.7,0.1,1.0000,1.0,217.97346115112305
0.5,0.7,0.2,0.9985,1.0,104.0958251953125
0.5,0.7,0.3,0.9902,1.0,50.10693359375
0.5,0.7,0.4,0.9619,1.0,22.870201110839844
0.5,0.7,0.5,0.8750,0.9997313272434175,12.353179931640625
0.5,0.7,0.7,0.1503,0.9793121977431488,5.915924072265625
0.5,0.7,0.9,0.0000,0.0,4.9204254150390625
0.5,0.8,0.1,1.0000,1.0,131.19198608398438
0.5,0.8,0.2,0.9992,1.0,65.45861053466797
0.5,0.8,0.3,0.9930,1.0,32.29932403564453
0.5,0.8,0.4,0.9772,1.0,15.365524291992188
0.5,0.8,0.5,0.9136,0.999462654486835,8.127471923828125
0.5,0.8,0.7,0.1852,0.9924771628156905,4.085304260253906
0.5,0.8,0.9,0.0378,0.7254164427727029,3.5202484130859375
0.5,0.9,0.1,1.0000,1.0,80.17733764648438
0.5,0.9,0.2,0.9991,1.0,39.42584228515625
0.5,0.9,0.3,0.9954,1.0,19.87145233154297
0.5,0.9,0.4,0.9835,1.0,10.030097961425781
0.5,0.9,0.5,0.9403,1.0,5.248565673828125
0.5,0.9,0.7,0.1366,0.9940891993551854,2.6456832885742188
0.5,0.9,0.9,0.0138,0.6380977968833961,2.3297119140625
0.5,1.0,0.1,1.0000,1.0,56.05637741088867
0.5,1.0,0.2,0.9996,1.0,27.320690155029297
0.5,1.0,0.3,0.9953,1.0,13.542648315429688
0.5,1.0,0.4,0.9855,1.0,7.509265899658203
0.5,1.0,0.5,0.9562,1.0,3.954132080078125
0.5,1.0,0.7,0.2234,1.0,2.0709152221679688
0.5,1.0,0.9,0.0074,0.27941966684578184,1.7118034362792969
1.0,0.1,0.1,0.9697,1.0,6026.09338760376
1.0,0.1,0.2,0.6126,1.0,3150.1195907592773
1.0,0.1,0.3,0.2295,1.0,1721.9318923950195
1.0,0.1,0.4,0.0747,1.0,983.9922866821289
1.0,0.1,0.5,0.0270,1.0,593.2724761962891
1.0,0.1,0.7,0.0026,1.0,359.7184829711914
1.0,0.1,0.9,0.0004,0.9952,326.044864654541
1.0,0.5,0.1,0.9997,1.0,163.07445526123047
1.0,0.5,0.2,0.9954,1.0,86.34294128417969
1.0,0.5,0.3,0.9816,1.0,51.06517028808594
1.0,0.5,0.4,0.9087,1.0,31.659690856933594
1.0,0.5,0.5,0.7407,1.0,23.46068572998047
1.0,0.5,0.7,0.0915,1.0,15.144813537597656
1.0,0.5,0.9,0.0202,1.0,14.027183532714844
1.0,1.0,0.1,0.9997,1.0,16.456619262695312
1.0,1.0,0.2,0.9981,1.0,8.008644104003906
1.0,1.0,0.3,0.9953,1.0,4.803295135498047
1.0,1.0,0.4,0.9851,1.0,3.2930221557617188
1.0,1.0,0.5,0.9627,1.0,2.564544677734375
1.0,1.0,0.7,0.3705,1.0,1.9495315551757812
1.0,1.0,0.9,0.0000,0.0,1.6975021362304688
